################################### GEN CYTB ####################################

* AICc MODEL SELECTION : Selection uncertainty
 
Model             -lnL    K     AICc       delta       weight   cumWeight
TPM2+I      16571.53495   46  33239.025984  3084.668527   0.00e+000   1.000000 
TPM2uf      16670.14577   48  33440.603181  3286.245724   0.00e+000   1.000000 
TIM3ef+I    16709.30389   47  33516.739648  3362.382191   0.00e+000   1.000000 
TIM3        16712.54172   49  33527.578853  3373.221396   0.00e+000   1.000000 
TIM1ef+I    16718.72543   47  33535.582728  3381.225271   0.00e+000   1.000000 
TPM3uf      16724.97262   48  33550.256881  3395.899424   0.00e+000   1.000000 
TVMef       16752.25272   47  33602.637308  3448.279851   0.00e+000   1.000000 
TrNef+I     16767.68377   46  33631.323624  3476.966167   0.00e+000   1.000000 
TIM1        16768.88453   49  33640.264473  3485.907016   0.00e+000   1.000000 
TPM1uf      16782.58841   48  33665.488461  3511.131004   0.00e+000   1.000000 
TIM2ef      16808.67931   46  33713.314704  3558.957247   0.00e+000   1.000000 
F81+I       16816.86579   47  33731.863448  3577.505991   0.00e+000   1.000000 
TrN         16824.54181   48  33749.395261  3595.037804   0.00e+000   1.000000 
HKY         16838.05949   47  33774.250848  3619.893391   0.00e+000   1.000000 
TPM2        16851.88860   45  33797.561478  3643.204021   0.00e+000   1.000000 
SYM         16854.09615   48  33808.503941  3654.146484   0.00e+000   1.000000 
TPM3+I      16912.89533   46  33921.746744  3767.389287   0.00e+000   1.000000 
TPM1+I      16918.33489   46  33932.625864  3778.268407   0.00e+000   1.000000 
K80+I       16965.38405   45  34024.552378  3870.194921   0.00e+000   1.000000 
TIM3ef      17024.66516   46  34145.286404  3990.928947   0.00e+000   1.000000 
TIM1ef      17037.50663   46  34170.969344  4016.611887   0.00e+000   1.000000 
TrNef       17084.07980   45  34261.943878  4107.586421   0.00e+000   1.000000 
F81         17100.44625   46  34296.848584  4142.491127   0.00e+000   1.000000 
TPM3        17203.34701   45  34500.478298  4346.120841   0.00e+000   1.000000 
TPM1        17212.08429   45  34517.952858  4363.595401   0.00e+000   1.000000 
JC+I        17239.40012   44  34570.416678  4416.059221   0.00e+000   1.000000 
K80         17257.11056   44  34605.837558  4451.480101   0.00e+000   1.000000 
JC          17528.18970   43  35145.831955  4991.474498   0.00e+000   1.000000

################################  GEN BRCA1 ##################################
* AICc MODEL SELECTION : Selection uncertainty
 
Model             -lnL    K     AICc       delta       weight   cumWeight
------------------------------------------------------------------------- 
TPM3uf+G    40606.83135   42  81299.285342   0.000000    0.367967   0.367967 = Mejor modelo
TIM3+G      40606.23726   43  81300.175194   0.889853    0.235820   0.603787 
TVM+G       40605.46588   44  81300.712336   1.426994    0.180277   0.784064 
TPM3uf+I+G  40607.04228   43  81301.785234   2.499893    0.105430   0.889495 
TIM3+I+G    40606.24047   44  81302.261516   2.976174    0.083089   0.972583 
TVM+I+G     40606.43367   45  81304.729688   5.444347    0.024187   0.996770 
TPM1uf+G    40612.65525   42  81310.933142  11.647800    0.001088   0.997858 
TIM1+G      40611.95414   43  81311.608954  12.323613    0.000776   0.998634 
TrN+I+G     40612.30767   43  81312.316014  13.030673    0.000545   0.999179 
HKY+I+G     40614.05661   42  81313.735862  14.450520    0.000268   0.999446 
TPM1uf+I+G  40613.06448   43  81313.829634  14.544293    0.000256   0.999702 
TIM1+I+G    40612.36520   44  81314.510976  15.225634    0.000182   0.999884 
TPM2uf+I+G  40614.45226   43  81316.605194  17.319853   6.38e-005   0.999948 
TIM2+I+G    40613.69241   44  81317.165396  17.880054   4.82e-005   0.999996 
TIM2+G      40617.18702   43  81322.074714  22.789373   4.14e-006   1.000000 
F81+I+G     40651.53269   41  81386.611855  87.326514   4.01e-020   1.000000 
TPM2uf+G    40810.55228   42  81706.727202  407.441860   1.23e-089   1.000000 
F81+G       40846.50441   40  81774.480992  475.195651   2.39e-104   1.000000 
TIM3        40877.02722   42  81839.677082  540.391740   1.66e-118   1.000000 
TPM2uf+I    40885.59327   42  81856.809182  557.523840   3.17e-122   1.000000 
TPM3uf      40913.44548   41  81910.437435  611.152094   7.17e-134   1.000000 
TIM3+I      40912.42476   43  81912.550194  613.264853   2.49e-134   1.000000 
TPM3uf+I    40913.67531   42  81912.973262  613.687920   2.02e-134   1.000000 
TVM         40913.12086   43  81913.942394  614.657053   1.24e-134   1.000000 
TVM+I       40913.35073   44  81916.482036  617.196694   3.49e-135   1.000000 
TIM1        40919.31105   42  81924.244742  624.959400   7.20e-137   1.000000 
TPM1uf      40920.60841   41  81924.763295  625.477954   5.56e-137   1.000000 
TIM2+I      40918.58634   43  81924.873354  625.588013   5.26e-137   1.000000 
TIM2        40920.45864   42  81926.539922  627.254580   2.29e-137   1.000000 
TIM1+I      40919.55698   43  81926.814634  627.529293   1.99e-137   1.000000 
TPM2uf      40921.78144   41  81927.109355  627.824014   1.72e-137   1.000000 
TPM1uf+I    40920.83407   42  81927.290782  628.005440   1.57e-137   1.000000 
F81+I       40946.45732   40  81974.386812  675.101471   9.32e-148   1.000000 
F81         40948.35978   39  81976.119291  676.833949   3.92e-148   1.000000 
TIM3ef+G    41256.56021   40  82594.592592  1295.307251   0.00e+000   1.000000 
SYM+G       41255.61935   42  82596.861342  1297.576000   0.00e+000   1.000000 
TIM2ef+I+G  41256.79600   41  82597.138475  1297.853134   0.00e+000   1.000000 
TPM2+G      41259.31469   39  82598.029111  1298.743769   0.00e+000   1.000000 
TPM3+G      41259.58140   39  82598.562531  1299.277189   0.00e+000   1.000000 
TIM3ef+I+G  41257.71809   41  82598.982655  1299.697314   0.00e+000   1.000000 
TIM1ef+I+G  41257.84623   41  82599.238935  1299.953594   0.00e+000   1.000000 
TPM1+G      41260.16451   39  82599.728751  1300.443409   0.00e+000   1.000000 
TPM3+I+G    41260.17874   40  82601.829652  1302.544311   0.00e+000   1.000000 
TPM2+I+G    41260.53956   40  82602.551292  1303.265951   0.00e+000   1.000000 
TIM1ef+G    41260.55650   40  82602.585172  1303.299831   0.00e+000   1.000000 
TPM1+I+G    41260.71124   40  82602.894652  1303.609311   0.00e+000   1.000000 
TrNef+I+G   41261.18533   40  82603.842832  1304.557491   0.00e+000   1.000000 
SYM+I+G     41259.08903   43  82605.878734  1306.593393   0.00e+000   1.000000 
TIM2ef+G    41262.70193   40  82606.876032  1307.590691   0.00e+000   1.000000 
K80+G       41265.50261   38  82608.334368  1309.049026   0.00e+000   1.000000 
TVMef+I+G   41262.86789   42  82611.358422  1312.073080   0.00e+000   1.000000 
TrNef+G     41266.62727   39  82612.654271  1313.368929   0.00e+000   1.000000 
K80+I+G     41268.94341   39  82617.286551  1318.001209   0.00e+000   1.000000 
GTR+I+G     41262.36221   46  82618.670415  1319.385073   0.00e+000   1.000000 
JC+I+G      41290.53532   38  82658.399788  1359.114446   0.00e+000   1.000000 
JC+G        41298.16758   37  82671.595581  1372.310240   0.00e+000   1.000000 
TPM2        41482.43620   38  83042.201548  1742.916206   0.00e+000   1.000000 
TPM3+I      41485.37905   39  83050.157831  1750.872489   0.00e+000   1.000000 
TPM2+I      41495.84176   39  83071.083251  1771.797909   0.00e+000   1.000000 
TVMef+G     41494.31284   41  83072.172155  1772.886814   0.00e+000   1.000000 
TIM1ef      41497.82343   39  83075.046591  1775.761249   0.00e+000   1.000000 
TPM3        41499.41002   38  83076.149188  1776.863846   0.00e+000   1.000000 
TIM3ef      41498.38115   39  83076.162031  1776.876689   0.00e+000   1.000000 
TIM1ef+I    41497.41676   40  83076.305692  1777.020351   0.00e+000   1.000000 
TPM1+I      41498.58273   39  83076.565191  1777.279849   0.00e+000   1.000000 
TVMef       41497.84494   40  83077.162052  1777.876711   0.00e+000   1.000000 
TPM1        41500.06692   38  83077.462988  1778.177646   0.00e+000   1.000000 
TVMef+I     41497.66635   41  83078.879175  1779.593834   0.00e+000   1.000000 
TIM3ef+I    41500.34073   40  83082.153632  1782.868291   0.00e+000   1.000000 
TIM2ef      41502.41904   39  83084.237811  1784.952469   0.00e+000   1.000000 
TIM2ef+I    41501.45075   40  83084.373672  1785.088331   0.00e+000   1.000000 
SYM         41500.49767   41  83084.541815  1785.256474   0.00e+000   1.000000 
JC          41508.20969   36  83089.612928  1790.327587   0.00e+000   1.000000 
JC+I        41513.41314   37  83102.086701  1802.801360   0.00e+000   1.000000 
GTR+G       41515.12129   45  83122.104928  1822.819587   0.00e+000   1.000000 
TrN+G       41518.49717   42  83122.616982  1823.331640   0.00e+000   1.000000 
HKY+G       41520.44334   41  83124.433155  1825.147814   0.00e+000   1.000000 
HKY         41561.81875   40  83205.109672  1905.824331   0.00e+000   1.000000 
GTR+I       41556.86516   45  83205.592668  1906.307327   0.00e+000   1.000000 
TrN+I       41560.03766   42  83205.697962  1906.412620   0.00e+000   1.000000 
GTR         41561.87061   44  83213.521796  1914.236454   0.00e+000   1.000000 
TrN         41565.06528   41  83213.677035  1914.391694   0.00e+000   1.000000 
HKY+I       41567.40793   41  83218.362335  1919.076994   0.00e+000   1.000000 
SYM+I       41569.72598   42  83225.074602  1925.789260   0.00e+000   1.000000 
TrNef+I     41577.23264   39  83233.865011  1934.579669   0.00e+000   1.000000 
K80+I       41579.24829   38  83235.825728  1936.540386   0.00e+000   1.000000 
K80         42223.75506   37  84522.770541  3223.485200   0.00e+000   1.000000 
TrNef       42231.08384   38  84539.496828  3240.211486   0.00e+000   1.000000

################################ GEN ND1 ####################################
* AICc MODEL SELECTION : Selection uncertainty
 
Model             -lnL    K     AICc       delta       weight   cumWeight
------------------------------------------------------------------------- 
TIM2+I+G    11478.46921   51  23064.818686   0.000000    0.560210   0.560210 = Mejor modelo
GTR+I+G     11476.64286   53  23065.645720   0.827034    0.370478   0.930688 
TVM+I+G     11479.44046   52  23068.998567   4.179881    0.069295   0.999983 
TPM2uf+I+G  11490.10976   50  23085.867361  21.048674   1.51e-005   0.999998 
TPM3uf+I+G  11492.99365   50  23091.635141  26.816454   8.42e-007   0.999999 
TIM3+I+G    11492.82516   51  23093.530586  28.711900   3.26e-007   0.999999 
HKY+I+G     11495.23540   49  23093.891154  29.072468   2.72e-007   1.000000 
TPM1uf+I+G  11494.34502   50  23094.337881  29.519194   2.18e-007   1.000000 
TrN+I+G     11494.93798   50  23095.523801  30.705114   1.20e-007   1.000000 
TIM1+I+G    11494.11775   51  23096.115766  31.297080   8.96e-008   1.000000 
TPM2uf+G    11500.36433   49  23104.149014  39.330328   1.61e-009   1.000000 
TVM+G       11498.27751   51  23104.435286  39.616600   1.40e-009   1.000000 
TIM2+G      11500.21966   50  23106.087161  41.268474   6.12e-010   1.000000 
GTR+G       11498.19846   52  23106.514567  41.695881   4.95e-010   1.000000 
TPM3uf+G    11505.50007   49  23114.420494  49.601808   9.49e-012   1.000000 
HKY+G       11507.61216   48  23116.422110  51.603424   3.49e-012   1.000000 
TIM3+G      11505.56271   50  23116.773261  51.954574   2.93e-012   1.000000 
TPM1uf+G    11506.76374   49  23116.947834  52.129148   2.68e-012   1.000000 
TrN+G       11507.60866   49  23118.637674  53.818988   1.15e-012   1.000000 
TIM1+G      11506.73066   50  23119.109161  54.290474   9.11e-013   1.000000 
SYM+I+G     11663.75434   50  23433.156521  368.337834   5.82e-081   1.000000 
TIM2ef+I+G  11684.74997   48  23470.697730  405.879044   4.10e-089   1.000000 
SYM+G       11711.26347   49  23525.947294  461.128608   4.13e-101   1.000000 
TIM2ef+G    11732.87318   47  23564.726492  499.907806   1.57e-109   1.000000 
GTR+I       11827.54324   52  23765.204127  700.385441   4.59e-153   1.000000 
TVM+I       11829.41839   51  23766.717046  701.898360   2.15e-153   1.000000 
TIM1ef+I+G  11847.27686   48  23795.751510  730.932824   1.07e-159   1.000000 
TIM2+I      11846.62270   50  23798.893241  734.074554   2.22e-160   1.000000 
TPM2uf+I    11849.46991   49  23802.360174  737.541488   3.92e-161   1.000000 
TPM1uf+I    11878.34659   49  23860.113534  795.294848   1.13e-173   1.000000 
TIM1+I      11878.03196   50  23861.711761  796.893074   5.07e-174   1.000000 
TIM3ef+I+G  11885.45852   48  23872.114830  807.296144   2.79e-176   1.000000 
TPM3uf+I    11885.52554   49  23874.471434  809.652748   8.60e-177   1.000000 
TrNef+I+G   11887.94727   47  23874.874672  810.055986   7.03e-177   1.000000 
TIM3+I      11884.64934   50  23874.946521  810.127834   6.78e-177   1.000000 
TIM1ef+G    11890.28340   47  23879.546932  814.728246   6.80e-178   1.000000 
TVMef+I+G   11890.60047   49  23884.621294  819.802608   5.38e-179   1.000000 
SYM+I       11896.01702   49  23895.454394  830.635708   2.39e-181   1.000000 
HKY+I       11900.29810   48  23901.793990  836.975304   1.00e-182   1.000000 
TrN+I       11900.04969   49  23903.519734  838.701048   4.23e-183   1.000000 
TIM3ef+G    11913.38440   47  23925.748932  860.930246   6.31e-188   1.000000 
TrNef+G     11914.64682   46  23926.061005  861.242319   5.39e-188   1.000000 
TPM2+G      11918.42445   46  23933.616265  868.797579   1.23e-189   1.000000 
TVMef+G     11925.85445   48  23952.906690  888.088004   7.99e-194   1.000000 
TIM2ef+I    11935.08192   47  23969.143972  904.325286   2.38e-197   1.000000 
TPM2+I+G    11945.88802   47  23990.756172  925.937486   4.83e-202   1.000000 
F81+I+G     12030.45135   48  24162.100490  1097.281804   0.00e+000   1.000000 
F81+G       12074.55505   47  24248.090232  1183.271546   0.00e+000   1.000000 
TPM1+I+G    12100.87831   47  24300.736752  1235.918066   0.00e+000   1.000000 
TVMef+I     12124.06726   48  24349.332310  1284.513624   0.00e+000   1.000000 
TIM1ef+I    12125.56428   47  24350.108692  1285.290006   0.00e+000   1.000000 
TPM3+I+G    12144.15536   47  24387.290852  1322.472166   0.00e+000   1.000000 
K80+I+G     12150.56887   46  24397.905105  1333.086419   0.00e+000   1.000000 
TPM1+G      12151.24427   46  24399.255905  1334.437219   0.00e+000   1.000000 
TIM3ef+I    12168.82641   47  24436.632952  1371.814266   0.00e+000   1.000000 
TrNef+I     12180.36547   46  24457.498305  1392.679619   0.00e+000   1.000000 
TPM3+G      12193.08623   46  24482.939825  1418.121139   0.00e+000   1.000000 
TPM2+I      12196.63403   46  24490.035425  1425.216739   0.00e+000   1.000000 
K80+G       12201.24387   45  24497.047211  1432.228525   0.00e+000   1.000000 
F81+I       12255.31360   47  24609.607332  1544.788646   0.00e+000   1.000000 
TPM1+I      12310.51397   46  24717.795305  1652.976619   0.00e+000   1.000000 
TPM3+I      12350.69996   46  24798.167285  1733.348599   0.00e+000   1.000000 
K80+I       12362.55911   45  24819.677691  1754.859005   0.00e+000   1.000000 
JC+I+G      12418.05534   45  24930.670151  1865.851465   0.00e+000   1.000000 
JC+G        12460.79573   44  25013.947896  1949.129210   0.00e+000   1.000000 
JC+I        12598.01098   44  25288.378396  2223.559710   0.00e+000   1.000000 
GTR         12932.37594   51  25972.632146  2907.813460   0.00e+000   1.000000 
TVM         12936.51959   50  25978.687021  2913.868334   0.00e+000   1.000000 
TPM2uf      13034.02143   48  26169.240650  3104.421964   0.00e+000   1.000000 
TIM2        13102.82014   49  26309.060634  3244.241948   0.00e+000   1.000000 
TVMef       13151.87367   47  26402.727472  3337.908786   0.00e+000   1.000000 
TPM3uf      13193.25053   48  26487.698850  3422.880164   0.00e+000   1.000000 
TIM3        13193.24028   49  26489.900914  3425.082228   0.00e+000   1.000000 
TIM2ef      13197.92746   46  26492.622285  3427.803599   0.00e+000   1.000000 
TPM2        13236.18631   45  26566.932091  3502.113405   0.00e+000   1.000000 
TPM1uf      13236.52848   48  26574.254750  3509.436064   0.00e+000   1.000000 
TIM1        13236.47446   49  26576.369274  3511.550588   0.00e+000   1.000000 
SYM         13241.85984   48  26584.917470  3520.098784   0.00e+000   1.000000 
HKY         13289.84186   47  26678.663852  3613.845166   0.00e+000   1.000000 
TrN         13289.83969   48  26680.877170  3616.058484   0.00e+000   1.000000 
TIM3ef      13437.14964   46  26971.066645  3906.247959   0.00e+000   1.000000 
TIM1ef      13440.83859   46  26978.444545  3913.625859   0.00e+000   1.000000 
TrNef       13484.91820   45  27064.395871  3999.577185   0.00e+000   1.000000 
F81         13497.15105   46  27091.069465  4026.250779   0.00e+000   1.000000 
TPM3        13549.58498   45  27193.729431  4128.910745   0.00e+000   1.000000 
TPM1        13551.27369   45  27197.106851  4132.288165   0.00e+000   1.000000 
K80         13594.20720   44  27280.770836  4215.952150   0.00e+000   1.000000 
JC          13811.46827   43  27713.094782  4648.276096   0.00e+000   1.000000

################################  GEN RAG1 ##################################

* AICc MODEL SELECTION : Selection uncertainty
 
Model             -lnL    K     AICc       delta       weight   cumWeight
------------------------------------------------------------------------- 
TIM3+G      9964.96122   45  20025.948641   0.000000    0.718217   0.718217 = Mejor modelo
TIM3+I+G    9965.49969   46  20029.302587   3.353946    0.134263   0.852480 
GTR+I+G     9964.32123   48  20031.519653   5.571012    0.044312   0.896793 
GTR+G       9965.72684   47  20032.040541   6.091900    0.034152   0.930945 
TIM1+G      9968.42399   45  20032.874181   6.925540    0.022511   0.953456 
TrN+G       9969.64255   44  20033.040914   7.092273    0.020710   0.974166 
TIM1+I+G    9968.15570   46  20034.614607   8.665966    0.009429   0.983595 
TIM2+G      9969.44421   45  20034.914621   8.965980    0.008116   0.991711 
TrN+I+G     9969.57298   45  20035.172161   9.223520    0.007135   0.998846 
TIM2+I+G    9970.51157   46  20039.326347  13.377706    0.000894   0.999739 
TPM3uf+G    9974.71464   44  20043.185094  17.236453    0.000130   0.999869 
TVM+G       9972.88021   46  20044.063627  18.114986   8.37e-005   0.999953 
TPM1uf+G    9976.80740   44  20047.370614  21.421973   1.60e-005   0.999969 
HKY+G       9978.43301   43  20048.358037  22.409397   9.78e-006   0.999979 
TPM3uf+I+G  9976.25346   45  20048.533121  22.584480   8.96e-006   0.999988 
TVM+I+G     9974.25402   47  20049.094901  23.146260   6.76e-006   0.999995 
HKY+I+G     9978.51090   44  20050.777614  24.828973   2.92e-006   0.999997 
TPM2uf+G    9978.80482   44  20051.365454  25.416813   2.17e-006   1.000000 
TPM1uf+I+G  9979.82781   45  20055.681821  29.733180   2.51e-007   1.000000 
TPM2uf+I+G  9980.29965   45  20056.625501  30.676860   1.57e-007   1.000000 
SYM+G       10000.56583   44  20094.887474  68.938833   7.70e-016   1.000000 
TIM3ef+G    10003.10314   42  20095.441063  69.492422   5.84e-016   1.000000 
SYM+I+G     10002.43400   45  20100.894201  74.945560   3.82e-017   1.000000 
TIM3ef+I+G  10005.39540   43  20102.282817  76.334177   1.91e-017   1.000000 
TPM3+G      10008.16330   41  20103.310681  77.362040   1.14e-017   1.000000 
TVMef+G     10006.94968   43  20105.391377  79.442737   4.03e-018   1.000000 
TrNef+G     10009.78809   41  20106.560261  80.611620   2.25e-018   1.000000 
TIM2ef+G    10008.77989   42  20106.794563  80.845922   2.00e-018   1.000000 
TIM1ef+G    10009.58247   42  20108.399723  82.451082   8.96e-019   1.000000 
TPM3+I+G    10009.73917   42  20108.713123  82.764482   7.66e-019   1.000000 
TVMef+I+G   10008.08806   44  20109.931934  83.983293   4.16e-019   1.000000 
TrNef+I+G   10010.36141   42  20109.957603  84.008962   4.11e-019   1.000000 
TIM1ef+I+G  10009.48863   43  20110.469277  84.520637   3.18e-019   1.000000 
TIM2ef+I+G  10011.20249   43  20113.896997  87.948357   5.73e-020   1.000000 
K80+G       10015.48650   40  20115.712884  89.764244   2.31e-020   1.000000 
TPM1+G      10014.57851   41  20116.141101  90.192460   1.87e-020   1.000000 
TPM2+G      10015.48067   41  20117.945421  91.996780   7.58e-021   1.000000 
TPM2+I+G    10014.61818   42  20118.471143  92.522502   5.82e-021   1.000000 
K80+I+G     10015.82140   41  20118.626881  92.678240   5.39e-021   1.000000 
TPM1+I+G    10015.73484   42  20120.704463  94.755822   1.91e-021   1.000000 
F81+G       10130.08241   42  20349.399603  323.450962   4.17e-071   1.000000 
F81+I+G     10129.81448   43  20351.120977  325.172337   1.76e-071   1.000000 
JC+G        10165.33060   39  20413.163365  387.214724   5.94e-085   1.000000 
TIM3+I      10161.70558   45  20419.437361  393.488720   2.58e-086   1.000000 
JC+I+G      10168.03385   40  20420.807584  394.858944   1.30e-086   1.000000 
GTR+I       10160.28316   47  20421.153181  395.204540   1.09e-086   1.000000 
GTR         10161.69642   46  20421.696047  395.747406   8.33e-087   1.000000 
TIM3        10165.37153   44  20424.498874  398.550233   2.05e-087   1.000000 
TrN+I       10165.57435   44  20424.904514  398.955873   1.68e-087   1.000000 
TIM2+I      10165.37297   45  20426.772141  400.823500   6.58e-088   1.000000 
TIM1+I      10165.45691   45  20426.940021  400.991380   6.05e-088   1.000000 
TIM1        10166.84746   44  20427.450734  401.502093   4.69e-088   1.000000 
TrN         10168.05902   43  20427.610057  401.661417   4.33e-088   1.000000 
TIM2        10168.05924   44  20429.874294  403.925653   1.40e-088   1.000000 
TPM3uf+I    10177.34669   44  20448.449194  422.500553   1.29e-092   1.000000 
TPM3uf      10179.12986   43  20449.751737  423.803097   6.74e-093   1.000000 
TVM+I       10175.82142   46  20449.946047  423.997406   6.11e-093   1.000000 
TVM         10177.60635   45  20451.238901  425.290260   3.20e-093   1.000000 
TPM1uf+I    10180.18301   44  20454.121834  428.173193   7.58e-094   1.000000 
TPM1uf      10181.79675   43  20455.085517  429.136877   4.68e-094   1.000000 
HKY         10182.92817   42  20455.091123  429.142482   4.67e-094   1.000000 
TPM2uf+I    10181.27510   44  20456.306014  430.357373   2.54e-094   1.000000 
HKY+I       10182.63453   43  20456.761077  430.812437   2.03e-094   1.000000 
TPM2uf      10182.73716   43  20456.966337  431.017697   1.83e-094   1.000000 
TIM3ef+I    10199.25365   42  20487.742083  461.793442   3.79e-101   1.000000 
TIM3ef      10200.97570   41  20488.935481  462.986840   2.09e-101   1.000000 
SYM+I       10198.13835   44  20490.032514  464.083873   1.21e-101   1.000000 
SYM         10199.68954   43  20490.871097  464.922457   7.94e-102   1.000000 
TIM1ef+I    10201.21173   42  20491.658243  465.709602   5.35e-102   1.000000 
TIM2ef+I    10202.43655   42  20494.107883  468.159242   1.57e-102   1.000000 
TIM1ef      10205.96287   41  20498.909821  472.961180   1.43e-103   1.000000 
TrNef+I     10206.02973   41  20499.043541  473.094900   1.33e-103   1.000000 
TrNef       10207.34671   40  20499.433304  473.484664   1.10e-103   1.000000 
TPM3+I      10206.93942   41  20500.862921  474.914280   5.37e-104   1.000000 
TVMef+I     10205.69399   43  20502.879997  476.931357   1.96e-104   1.000000 
TIM2ef      10208.15709   41  20503.298261  477.349620   1.59e-104   1.000000 
TPM3        10212.70692   40  20510.153724  484.205084   5.16e-106   1.000000 
TVMef       10211.14212   42  20511.519023  485.570382   2.61e-106   1.000000 
TPM2+I      10213.04288   41  20513.069841  487.121200   1.20e-106   1.000000 
K80+I       10217.71761   40  20520.175104  494.226464   3.44e-108   1.000000 
